"date","company_ID","score1","score2","score3","age","province","juridical_form","industry_sector","gross_margin_ratio","core_income_ratio","cash_asset_ratio","consolidated_liabilities_ratio","revenues","cr_available","region","geo_area","last_statement_age","days_to_default","default","profits","log_age","log_revenues","log_profits","sqrt_gmr","month","sin_month","cos_month","month_day","sin_dom","cos_dom","week_day","sin_dow","cos_dow","year"
2021-07-02,"3105916930",6,3,"H",4,"TE","SR","Retail",0.0669642857142857,0.116207951070336,0.263157894736842,0.325892857142857,327,TRUE,"Abruzzo","South",2,1498,0,21.8973214285714,1.6094379124341,5.79301360838414,3.13101993553423,0.258774584753383,7,-0.5,-0.866025403784439,2,0.394355855113319,0.918957811620231,6,-0.78183148246803,0.623489801858733,2021
2022-05-11,"3869256960",7,2,"I",8,"VI","SU","Retail",0.140350877192982,0.0246679316888046,0.0944206008583691,0.38401559454191,530,TRUE,"Veneto","North-east",2,1498,0,74.3859649122805,2.19722457733622,6.27476202124194,4.32262111594044,0.374634324632677,5,0.5,-0.866025403784439,11,0.790775736937699,-0.612105982547663,4,-0.433883739117558,-0.900968867902419,2022
2022-01-17,"711894720",8,2,"E",7,"PG","RS","Retail",0.102272727272727,-0.0946969696969697,0.1976401179941,0.151515151515152,550,TRUE,"Umbria","Centre",2,1498,0,56.2499999999999,2.07944154167984,6.31173480915291,4.04742764243435,0.319801074533415,1,0.5,0.866025403784439,17,-0.299363122973358,-0.954139256400049,2,0.974927912181824,-0.222520933956314,2022
2021-03-17,"9857623390",4,1,"H",12,"CS","CL","Services",0.600840336134454,-0.0711610486891386,0.102127659574468,0.478991596638655,269,TRUE,"Calabria","South",2,1498,0,161.626050420168,2.56494935746154,5.59842195899838,5.09145339596734,0.7751389140886,3,1,6.12323399573677e-17,17,-0.299363122973358,-0.954139256400049,4,-0.433883739117558,-0.900968867902419,2021
2020-12-01,"1015181610",6,1,"D",23,"MB","SR","Food",0.132384648555412,0.00550381033022862,0.00932400932400932,0.226821905993963,2362,TRUE,"Lombardia","North-west",1,1498,0,312.692539887883,3.17805383034795,7.76768727718691,5.74841333387428,0.363847012569036,12,-2.44929359829471e-16,1,1,0.20129852008866,0.979529941252494,3,0.433883739117558,-0.900968867902419,2020
2021-09-07,"4931630510",8,2,"C",6,"RM","SR","Retail",0.0983606557377049,0.0235294117647059,0.092511013215859,0,184,TRUE,"Lazio","Centre",1,1498,0,18.0983606557377,1.94591014905531,5.22035582507832,2.94960250182649,0.31362502409359,9,-1,-1.83697019872103e-16,7,0.988468324328111,0.151427777504577,3,0.433883739117558,-0.900968867902419,2021
2022-05-10,"3991003610",10,1,"L",33,"TV","SR","Food",0.300929212148038,0.00726800896741787,0,0.432520073875026,1168,TRUE,"Veneto","North-east",2,1498,0,351.485319788908,3.52636052461616,7.06390396147207,5.86500897539619,0.548570152439994,5,0.5,-0.866025403784439,10,0.897804539570742,-0.440394151557634,3,0.433883739117558,-0.900968867902419,2022
2021-03-04,"6396360660",8,3,"C",1,"RM","RS","Retail",0.324137931034483,0.118279569892473,0.0839160839160839,0.372413793103448,93,TRUE,"Lazio","Centre",2,1498,0,30.1448275862069,0.693147180559945,4.54329478227,3.43864818284898,0.569331126001805,3,1,6.12323399573677e-17,4,0.72479278722912,0.688966919075687,5,-0.974927912181824,-0.222520933956315,2021
2022-01-11,"6980491520",8,1,"D",1,"VA","SR","Metal",0.338639652677279,0.0478632478632479,0.244712990936556,0.308248914616498,560,TRUE,"Lombardia","North-west",2,1498,0,189.638205499276,0.693147180559945,6.3297209055227,5.25037741971259,0.581927532152655,1,0.5,0.866025403784439,11,0.790775736937699,-0.612105982547663,3,0.433883739117558,-0.900968867902419,2022
2022-06-20,"386848850",7,2,"E",6,"BT","SR","Retail",0.818181818181818,0.387614678899083,0.21689497716895,0.875,1308,TRUE,"Puglia","South",2,1498,0,1070.18181818182,1.94591014905531,7.1770187659099,6.97651782091497,0.904534033733291,6,1.22464679914735e-16,-1,20,-0.790775736937699,-0.612105982547663,2,0.974927912181824,-0.222520933956314,2022
